"","cat_pais","cols_18","ccode","cat_pais2"
"1","Brasil","#FF96C5","Brazil","Brasil"
"2","Chile","#FF5768","Chile","Chile"
"3","Argentina","#00A5E3","Argentina","Argentina"
"4","Peru","#CFF800","Peru","Peru"
"5","Paraguay","#FF60A8","Paraguay","Paraguay"
"6","Ecuador","#E77577","Ecuador","Ecuador"
"7","Uruguay","#00B0BA","Uruguay","Uruguay"
"8","Nicaragua","#FF6F68","Nicaragua","Nicaragua"
"9","Panama","#FFEC59","Panama","Panama"
"10","Venezuela","#C05780","Venezuela","Venezuela"
"11","Bolivia","#8DD7BF","Bolivia","Bolivia"
"12","Mexico","#00CDAC","Mexico","Mexico"
"13","Guatemala","#FFD872","Guatemala","Guatemala"
"14","Honduras","#FC6238","Honduras","Honduras"
"15","Colombia","#FFBF65","Colombia","Colombia"
"16","Costa Rica","#6C88C4","Costa Rica","Costa Rica"
"17","Republica Dominicana","#74737A","Dominican Republic","Rep. Dom."
"18","El Salvador","#F2D4CC","El Salvador","El Salvador"
